IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.6525,0.4807,0.6199,0.0341,0.4011,0.3100,-0.7537,-0.0869,-0.0339,-0.1806
0.8503,0.4869,0.9678,0.8452,0.9780,1.0739,0.7893,0.4598,0.5268,0.4423
0.6238,0.2533,0.8854,0.7326,0.9525,1.3735,0.1250,0.5715,0.4458,0.6130
1.2231,0.5703,1.2446,1.0500,0.6702,1.1574,0.9407,1.2604,1.0238,1.2014
0.5884,0.4495,0.8378,0.4813,1.1441,0.8841,-0.6665,0.4288,0.9493,1.2275
0.8636,0.7623,0.3532,-0.1401,1.1646,0.8099,0.4612,0.2442,1.1078,0.8589
0.6282,1.2424,-0.0224,-0.3502,1.8676,1.0901,-0.5413,0.7856,0.7021,0.3203
-0.3846,0.4094,-0.0850,-0.6889,0.9553,0.4283,-0.7565,-0.3778,0.0108,-0.3805
-0.7437,-0.3531,-0.1116,0.1322,0.0197,-0.5041,-1.0089,-0.2246,-0.6656,-0.7511
-0.7154,0.0818,-0.0624,0.2160,0.0569,-0.4944,0.3361,-0.0366,-0.4594,-0.4981
-0.0803,0.7219,0.4112,0.4494,0.0336,0.0009,1.2881,1.0867,-0.0929,-0.3644
0.5439,0.9584,1.0315,0.7486,0.3012,0.4988,1.0952,1.1293,0.5619,0.1542
